"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.198.241.2","TLSv1.2","5952","Application Data"
"2","0.039160","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=2921 Win=14805 Len=0"
"3","0.039160","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=5899 Win=14788 Len=0"
"4","0.240913","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=1 Ack=5899 Win=14815 Len=1460 [TCP PDU reassembled in 5]"
"5","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","58","Application Data"
"6","0.240913","23.198.241.2","192.168.1.166","TCP","16114","443  >  58685 [ACK] Seq=1465 Ack=5899 Win=14815 Len=16060 [TCP PDU reassembled in 7]"
"7","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","400","Application Data"
"8","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","16114","Application Data"
"9","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","431","Application Data"
"10","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","5894","Application Data"
"11","0.240913","23.198.241.2","192.168.1.166","TLSv1.2","294","Application Data, Application Data"
"12","0.240971","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=5899 Ack=40388 Win=8191 Len=0"
"13","0.241748","192.168.1.166","23.198.241.2","TLSv1.2","89","Application Data"
"14","0.247269","192.168.1.166","23.198.241.2","TLSv1.2","6176","Application Data"
"15","0.247315","192.168.1.166","23.198.241.2","TLSv1.2","1690","Application Data"
"16","0.267619","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=40388 Ack=5934 Win=14815 Len=0"
"17","0.280133","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=40388 Ack=7394 Win=14812 Len=0"
"18","0.280133","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=40388 Ack=12056 Win=14794 Len=0"
"19","0.280133","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=40388 Ack=13692 Win=14784 Len=0"
"20","0.283799","192.168.1.166","23.198.241.2","TLSv1.2","558","Application Data"
"21","0.283845","192.168.1.166","23.198.241.2","TLSv1.2","173","Application Data"
"22","0.309631","23.198.241.2","192.168.1.166","TLSv1.2","365","Application Data"
"23","0.309631","23.198.241.2","192.168.1.166","TLSv1.2","159","Application Data"
"24","0.309649","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=14315 Ack=40804 Win=8190 Len=0"
"25","0.311036","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=40804 Ack=14315 Win=14815 Len=0"
"26","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","333","Application Data"
"27","0.321649","23.198.241.2","192.168.1.166","TCP","2974","443  >  58685 [ACK] Seq=41083 Ack=14315 Win=14815 Len=2920 [TCP PDU reassembled in 28]"
"28","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","1232","Application Data"
"29","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","16114","Application Data"
"30","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","693","Application Data"
"31","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","14654","Application Data"
"32","0.321649","23.198.241.2","192.168.1.166","TLSv1.2","129","Application Data"
"33","0.321682","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=14315 Ack=76555 Win=8191 Len=0"
"34","0.322859","192.168.1.166","23.198.241.2","TLSv1.2","177","Application Data"
"35","0.322885","192.168.1.166","23.198.241.2","TLSv1.2","154","Application Data"
"36","0.345766","192.168.1.166","23.198.241.2","TLSv1.2","154","Application Data"
"37","0.345929","192.168.1.166","23.198.241.2","TLSv1.2","154","Application Data"
"38","0.346632","192.168.1.166","23.198.241.2","TLSv1.2","5652","Application Data"
"39","0.346694","192.168.1.166","23.198.241.2","TLSv1.2","5971","Application Data"
"40","0.348999","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=76555 Ack=14538 Win=14815 Len=0"
"41","0.361935","23.198.241.2","192.168.1.166","TLSv1.2","334","Application Data"
"42","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=76835 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"43","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=78295 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"44","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=79755 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"45","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=81215 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"46","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=82675 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"47","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=84135 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"48","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=85595 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"49","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=87055 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"50","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=88515 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"51","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=89975 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"52","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=91435 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 53]"
"53","0.361935","23.198.241.2","192.168.1.166","TLSv1.2","400","Application Data"
"54","0.361935","23.198.241.2","192.168.1.166","TLSv1.2","1514","Application Data"
"55","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=94701 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 57]"
"56","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=96161 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 57]"
"57","0.361935","23.198.241.2","192.168.1.166","TLSv1.2","1514","Application Data, Application Data"
"58","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=99081 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 62]"
"59","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=100541 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 62]"
"60","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=102001 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 62]"
"61","0.361935","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=103461 Ack=14538 Win=14815 Len=1460 [TCP PDU reassembled in 62]"
"62","0.361935","23.198.241.2","192.168.1.166","TLSv1.2","1144","Application Data"
"63","0.362003","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=26253 Ack=106011 Win=8191 Len=0"
"64","0.381016","23.198.241.2","192.168.1.166","TLSv1.2","345","Application Data"
"65","0.381016","23.198.241.2","192.168.1.166","TCP","7354","443  >  58685 [ACK] Seq=106302 Ack=26253 Win=14756 Len=7300 [TCP PDU reassembled in 68]"
"66","0.381046","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=26253 Ack=113602 Win=8191 Len=0"
"67","0.382192","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=113602 Ack=26253 Win=14756 Len=1460 [TCP PDU reassembled in 68]"
"68","0.382192","23.198.241.2","192.168.1.166","TLSv1.2","218","Application Data"
"69","0.382223","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=26253 Ack=115226 Win=8191 Len=0"
"70","0.388191","23.198.241.2","192.168.1.166","TLSv1.2","372","Application Data"
"71","0.390024","23.198.241.2","192.168.1.166","TLSv1.2","334","Application Data"
"72","0.390024","23.198.241.2","192.168.1.166","TCP","10274","443  >  58685 [ACK] Seq=115824 Ack=26253 Win=14815 Len=10220 [TCP PDU reassembled in 73]"
"73","0.390024","23.198.241.2","192.168.1.166","TLSv1.2","701","Application Data"
"74","0.390024","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"75","0.390043","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=26253 Ack=126722 Win=8191 Len=0"
"76","0.400986","23.198.241.2","192.168.1.166","TLSv1.2","957","Application Data"
"77","0.400986","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"78","0.400998","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=26253 Ack=127656 Win=8188 Len=0"
"79","0.547622","192.168.1.166","23.198.241.2","TLSv1.2","5910","Application Data"
"80","0.573634","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=127656 Ack=30633 Win=14797 Len=0"
"81","0.573634","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=127656 Ack=32109 Win=14810 Len=0"
"82","0.606947","23.198.241.2","192.168.1.166","TLSv1.2","489","Application Data"
"83","0.606947","23.198.241.2","192.168.1.166","TLSv1.2","605","Application Data"
"84","0.606982","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=32109 Ack=128642 Win=8191 Len=0"
"85","0.613339","192.168.1.166","23.198.241.2","TLSv1.2","5924","Application Data"
"86","0.613455","192.168.1.166","23.198.241.2","TLSv1.2","5925","Application Data"
"87","0.613489","192.168.1.166","23.198.241.2","TLSv1.2","746","Application Data"
"88","0.613508","192.168.1.166","23.198.241.2","TLSv1.2","829","Application Data"
"89","0.619556","192.168.1.166","23.198.241.2","TLSv1.2","5935","Application Data"
"90","0.619617","192.168.1.166","23.198.241.2","TLSv1.2","253","Application Data"
"91","0.639995","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=128642 Ack=45317 Win=14754 Len=0"
"92","0.648404","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=128642 Ack=48237 Win=14812 Len=0"
"93","0.665160","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=128642 Ack=51157 Win=14815 Len=0"
"94","0.665160","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=128642 Ack=51397 Win=14815 Len=0"
"95","0.682213","192.168.1.166","23.198.241.2","TLSv1.2","6076","Application Data"
"96","0.708046","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=128642 Ack=57419 Win=14815 Len=0"
"97","0.710886","192.168.1.166","23.198.241.2","TLSv1.2","5931","Application Data"
"98","0.728967","23.198.241.2","192.168.1.166","TLSv1.2","531","Application Data"
"99","0.728967","23.198.241.2","192.168.1.166","TLSv1.2","700","Application Data"
"100","0.729003","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=63296 Ack=129765 Win=8187 Len=0"
"101","0.735467","23.198.241.2","192.168.1.166","TLSv1.2","357","Application Data"
"102","0.736216","23.198.241.2","192.168.1.166","TCP","16114","443  >  58685 [ACK] Seq=130068 Ack=57419 Win=14815 Len=16060 [TCP PDU reassembled in 103]"
"103","0.736216","23.198.241.2","192.168.1.166","TLSv1.2","400","Application Data"
"104","0.736216","23.198.241.2","192.168.1.166","TLSv1.2","16114","Application Data"
"105","0.736216","23.198.241.2","192.168.1.166","TLSv1.2","431","Application Data"
"106","0.736216","23.198.241.2","192.168.1.166","TLSv1.2","5894","Application Data"
"107","0.736246","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=63296 Ack=168751 Win=8191 Len=0"
"108","0.740350","192.168.1.166","23.198.241.2","TLSv1.2","5907","Application Data"
"109","0.740423","192.168.1.166","23.198.241.2","TLSv1.2","339","Application Data"
"110","0.742632","23.198.241.2","192.168.1.166","TCP","2974","443  >  58685 [ACK] Seq=168751 Ack=57419 Win=14815 Len=2920 [TCP PDU reassembled in 111]"
"111","0.742632","23.198.241.2","192.168.1.166","TLSv1.2","968","Application Data"
"112","0.742632","23.198.241.2","192.168.1.166","TLSv1.2","93","Application Data"
"113","0.742632","23.198.241.2","192.168.1.166","TLSv1.2","493","Application Data"
"114","0.742632","23.198.241.2","192.168.1.166","TLSv1.2","174","Application Data"
"115","0.742666","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=69434 Ack=173183 Win=8191 Len=0"
"116","0.746208","23.198.241.2","192.168.1.166","TLSv1.2","531","Application Data"
"117","0.746208","23.198.241.2","192.168.1.166","TLSv1.2","711","Application Data"
"118","0.746208","23.198.241.2","192.168.1.166","TLSv1.2","956","Application Data"
"119","0.746208","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"120","0.746237","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=69434 Ack=175250 Win=8191 Len=0"
"121","0.773531","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=175250 Ack=69434 Win=14792 Len=0"
"122","0.850731","23.198.241.2","192.168.1.166","TLSv1.2","494","Application Data"
"123","0.850731","23.198.241.2","192.168.1.166","TLSv1.2","1509","Application Data"
"124","0.850731","23.198.241.2","192.168.1.166","TCP","8814","443  >  58685 [ACK] Seq=177145 Ack=69434 Win=14815 Len=8760 [TCP PDU reassembled in 125]"
"125","0.850731","23.198.241.2","192.168.1.166","TLSv1.2","254","Application Data"
"126","0.850779","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=69434 Ack=186105 Win=8191 Len=0"
"127","0.884503","192.168.1.166","23.198.241.2","TLSv1.2","5988","Application Data"
"128","0.910867","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=186105 Ack=72354 Win=14805 Len=0"
"129","0.910867","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=186105 Ack=75368 Win=14815 Len=0"
"130","0.931031","23.198.241.2","192.168.1.166","TLSv1.2","349","Application Data"
"131","0.931031","23.198.241.2","192.168.1.166","TLSv1.2","312","Application Data"
"132","0.931063","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=75368 Ack=186658 Win=8189 Len=0"
"133","0.965751","192.168.1.166","23.198.241.2","TLSv1.2","6012","Application Data"
"134","0.999048","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=186658 Ack=78288 Win=14815 Len=0"
"135","0.999048","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=186658 Ack=81326 Win=14815 Len=0"
"136","1.017395","23.198.241.2","192.168.1.166","TLSv1.2","349","Application Data"
"137","1.017395","23.198.241.2","192.168.1.166","TLSv1.2","394","Application Data"
"138","1.017414","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=81326 Ack=187293 Win=8187 Len=0"
"139","1.694261","192.168.1.166","23.198.241.2","TLSv1.2","5915","Application Data"
"140","1.694303","192.168.1.166","23.198.241.2","TLSv1.2","5440","Application Data"
"141","1.730574","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=187293 Ack=87166 Win=14815 Len=0"
"142","1.730574","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=187293 Ack=88647 Win=14810 Len=0"
"143","1.735984","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=187293 Ack=92573 Win=14815 Len=0"
"144","1.751222","23.198.241.2","192.168.1.166","TLSv1.2","374","Application Data"
"145","1.751222","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"146","1.751241","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=92573 Ack=187644 Win=8191 Len=0"
"147","2.499569","192.168.1.166","23.198.241.2","TLSv1.2","5930","Application Data"
"148","2.526525","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=187644 Ack=95493 Win=14805 Len=0"
"149","2.526525","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=187644 Ack=98449 Win=14815 Len=0"
"150","2.548110","192.168.1.166","23.198.241.2","TLSv1.2","5915","Application Data"
"151","2.548162","192.168.1.166","23.198.241.2","TLSv1.2","2057","Application Data"
"152","2.560119","23.198.241.2","192.168.1.166","TLSv1.2","491","Application Data"
"153","2.560119","23.198.241.2","192.168.1.166","TLSv1.2","639","Application Data"
"154","2.560145","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=106313 Ack=188666 Win=8187 Len=0"
"155","2.574081","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=188666 Ack=106313 Win=14784 Len=0"
"156","2.595205","23.198.241.2","192.168.1.166","TLSv1.2","374","Application Data"
"157","2.595205","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"158","2.595219","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=106313 Ack=189017 Win=8186 Len=0"
"159","3.327233","192.168.1.166","23.198.241.2","TLSv1.2","5863","Application Data"
"160","3.362062","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=189017 Ack=110693 Win=14797 Len=0"
"161","3.372292","23.198.241.2","192.168.1.166","TLSv1.2","382","Application Data"
"162","3.372292","23.198.241.2","192.168.1.166","TLSv1.2","591","Application Data"
"163","3.372317","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=112122 Ack=189882 Win=8191 Len=0"
"164","3.374407","192.168.1.166","23.198.241.2","TLSv1.2","5888","Application Data"
"165","3.374447","192.168.1.166","23.198.241.2","TLSv1.2","285","Application Data"
"166","3.404205","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=189882 Ack=118187 Win=14787 Len=0"
"167","3.456426","23.198.241.2","192.168.1.166","TLSv1.2","355","Application Data"
"168","3.456426","23.198.241.2","192.168.1.166","TLSv1.2","121","Application Data"
"169","3.456443","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=118187 Ack=190250 Win=8190 Len=0"
"170","3.936056","192.168.1.166","23.198.241.2","TLSv1.2","6154","Application Data"
"171","3.936120","192.168.1.166","23.198.241.2","TLSv1.2","7343","Application Data"
"172","3.973753","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190250 Ack=131576 Win=14750 Len=0"
"173","4.042653","23.198.241.2","192.168.1.166","TLSv1.2","365","Application Data"
"174","4.042653","23.198.241.2","192.168.1.166","TLSv1.2","159","Application Data"
"175","4.042673","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=131576 Ack=190666 Win=8188 Len=0"
"176","5.962976","192.168.1.166","23.198.241.2","TLSv1.2","6167","Application Data"
"177","5.963050","192.168.1.166","23.198.241.2","TLSv1.2","16460","Application Data"
"178","5.963097","192.168.1.166","23.198.241.2","TLSv1.2","13694","Application Data"
"179","5.963369","192.168.1.166","23.198.241.2","TLSv1.2","6166","Application Data"
"180","5.963396","192.168.1.166","23.198.241.2","TLSv1.2","2125","Application Data"
"181","5.989124","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190666 Ack=134496 Win=14815 Len=0"
"182","5.993464","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190666 Ack=137689 Win=14815 Len=0"
"183","5.993464","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190666 Ack=149369 Win=14760 Len=0"
"184","5.996109","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190666 Ack=154095 Win=14794 Len=0"
"185","5.997964","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190666 Ack=165775 Win=14734 Len=0"
"186","5.997964","23.198.241.2","192.168.1.166","TLSv1.2","89","Application Data"
"187","5.997964","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190701 Ack=167735 Win=14815 Len=0"
"188","5.998219","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=190701 Ack=175918 Win=14775 Len=0"
"189","6.030255","23.198.241.2","192.168.1.166","TLSv1.2","365","Application Data"
"190","6.030255","23.198.241.2","192.168.1.166","TLSv1.2","159","Application Data"
"191","6.030275","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=175918 Ack=191117 Win=8187 Len=0"
"192","6.030696","192.168.1.166","23.198.241.2","TLSv1.2","89","Application Data"
"193","6.069209","23.198.241.2","192.168.1.166","TLSv1.2","365","Application Data"
"194","6.069209","23.198.241.2","192.168.1.166","TLSv1.2","159","Application Data"
"195","6.069233","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=175953 Ack=191533 Win=8191 Len=0"
"196","6.920651","192.168.1.166","23.198.241.2","TLSv1.2","5992","Application Data"
"197","6.955904","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=191533 Ack=181891 Win=14788 Len=0"
"198","7.074537","23.198.241.2","192.168.1.166","TLSv1.2","923","Application Data"
"199","7.074537","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"200","7.074553","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=181891 Ack=192433 Win=8188 Len=0"
"201","7.076199","192.168.1.166","23.198.241.2","TLSv1.2","6027","Application Data"
"202","7.101267","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=192433 Ack=186271 Win=14815 Len=0"
"203","7.101267","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=192433 Ack=187864 Win=14815 Len=0"
"204","7.276256","23.198.241.2","192.168.1.166","TLSv1.2","954","Application Data"
"205","7.276256","23.198.241.2","192.168.1.166","TCP","8814","443  >  58685 [ACK] Seq=193333 Ack=187864 Win=14815 Len=8760 [TCP PDU reassembled in 206]"
"206","7.276256","23.198.241.2","192.168.1.166","TLSv1.2","312","Application Data"
"207","7.276288","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=187864 Ack=202351 Win=8191 Len=0"
"208","7.281595","192.168.1.166","23.198.241.2","TLSv1.2","6178","Application Data"
"209","7.281653","192.168.1.166","23.198.241.2","TLSv1.2","1528","Application Data"
"210","7.315637","192.168.1.166","23.198.241.2","TLSv1.2","5915","Application Data"
"211","7.315701","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=202351 Ack=192244 Win=14797 Len=0"
"212","7.315701","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=202351 Ack=193988 Win=14809 Len=0"
"213","7.315701","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=202351 Ack=195462 Win=14810 Len=0"
"214","7.341486","23.198.241.2","192.168.1.166","TLSv1.2","365","Application Data"
"215","7.341486","23.198.241.2","192.168.1.166","TLSv1.2","159","Application Data"
"216","7.341511","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=201323 Ack=202767 Win=8190 Len=0"
