"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.39.213.4","TLSv1.2","5870","Application Data"
"2","0.000060","192.168.1.166","23.39.213.4","TLSv1.2","93","Application Data"
"3","0.002612","192.168.1.166","23.39.213.4","TLSv1.2","5281","Application Data"
"4","0.002636","192.168.1.166","23.39.213.4","TLSv1.2","629","Application Data"
"5","0.032077","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=1461 Win=9945 Len=0"
"6","0.035296","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=2921 Win=9945 Len=0"
"7","0.035296","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=5817 Win=9937 Len=0"
"8","0.035296","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=5856 Win=9937 Len=0"
"9","0.035296","23.39.213.4","192.168.1.166","TLSv1.2","93","Application Data"
"10","0.037270","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=40 Ack=11658 Win=9928 Len=0"
"11","0.090034","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11658 Ack=40 Win=16379 Len=0"
"12","0.091562","23.39.213.4","192.168.1.166","TLSv1.2","355","Application Data"
"13","0.091562","23.39.213.4","192.168.1.166","TLSv1.2","121","Application Data"
"14","0.091579","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11658 Ack=408 Win=16378 Len=0"
"15","0.092015","192.168.1.166","23.39.213.4","TLSv1.2","89","Application Data"
"16","0.165407","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=408 Ack=11693 Win=9949 Len=0"
"17","0.429358","23.39.213.4","192.168.1.166","TLSv1.2","1454","Application Data"
"18","0.429358","23.39.213.4","192.168.1.166","TCP","4434","443  >  50692 [ACK] Seq=1808 Ack=11693 Win=9949 Len=4380 [TCP PDU reassembled in 25]"
"19","0.429387","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11693 Ack=6188 Win=16383 Len=0"
"20","0.432866","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=6188 Ack=11693 Win=9949 Len=1460 [TCP PDU reassembled in 25]"
"21","0.432866","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=7648 Ack=11693 Win=9949 Len=1460 [TCP PDU reassembled in 25]"
"22","0.432866","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=9108 Ack=11693 Win=9949 Len=1460 [TCP PDU reassembled in 25]"
"23","0.432866","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=10568 Ack=11693 Win=9949 Len=1460 [TCP PDU reassembled in 25]"
"24","0.432866","23.39.213.4","192.168.1.166","TCP","5894","443  >  50692 [ACK] Seq=12028 Ack=11693 Win=9949 Len=5840 [TCP PDU reassembled in 25]"
"25","0.432866","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"26","0.432866","23.39.213.4","192.168.1.166","TLSv1.2","4434","Application Data"
"27","0.432866","23.39.213.4","192.168.1.166","TLSv1.2","958","Application Data"
"28","0.432914","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11693 Ack=23498 Win=16383 Len=0"
"29","0.439827","192.168.1.166","23.39.213.4","TLSv1.2","5453","Application Data"
"30","0.472907","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=23498 Ack=13153 Win=9945 Len=0"
"31","0.472907","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=23498 Ack=14613 Win=9937 Len=0"
"32","0.472907","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=23498 Ack=17092 Win=9939 Len=0"
"33","1.924484","192.168.1.166","23.39.213.4","TLSv1.2","5293","Application Data"
"34","1.924508","192.168.1.166","23.39.213.4","TLSv1.2","629","Application Data"
"35","1.958104","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=23498 Ack=18552 Win=9945 Len=0"
"36","1.958104","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=23498 Ack=22331 Win=9925 Len=0"
