"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.39.213.4","TLSv1.2","5639","Application Data"
"2","0.000068","192.168.1.166","23.39.213.4","TLSv1.2","16460","Application Data"
"3","0.000108","192.168.1.166","23.39.213.4","TLSv1.2","13693","Application Data"
"4","0.000396","192.168.1.166","23.39.213.4","TLSv1.2","5639","Application Data"
"5","0.000438","192.168.1.166","23.39.213.4","TLSv1.2","16460","Application Data"
"6","0.000474","192.168.1.166","23.39.213.4","TLSv1.2","11347","Application Data"
"7","0.033470","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=9966 Win=9901 Len=0"
"8","0.035259","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=15806 Win=9922 Len=0"
"9","0.041173","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=55816 Win=9713 Len=0"
"10","0.042269","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=57622 Win=9942 Len=0"
"11","0.048177","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=68915 Win=9883 Len=0"
"12","0.070450","23.39.213.4","192.168.1.166","TLSv1.2","361","Application Data"
"13","0.070450","23.39.213.4","192.168.1.166","TLSv1.2","289","Application Data"
"14","0.070473","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=68915 Ack=543 Win=16381 Len=0"
"15","0.071277","192.168.1.166","23.39.213.4","TLSv1.2","89","Application Data"
"16","0.083560","23.39.213.4","192.168.1.166","TLSv1.2","361","Application Data"
"17","0.083560","23.39.213.4","192.168.1.166","TLSv1.2","289","Application Data"
"18","0.083575","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=68950 Ack=1085 Win=16379 Len=0"
"19","0.144714","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=68950 Win=9949 Len=0"
"20","0.454031","192.168.1.166","23.39.213.4","TLSv1.2","5381","Application Data"
"21","0.454105","192.168.1.166","23.39.213.4","TLSv1.2","2341","Application Data"
"22","0.488158","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=70410 Win=9945 Len=0"
"23","0.488158","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=71870 Win=9945 Len=0"
"24","0.488158","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=74277 Win=9939 Len=0"
"25","0.488158","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=75737 Win=9932 Len=0"
"26","0.488158","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1085 Ack=76564 Win=9926 Len=0"
"27","0.533769","23.39.213.4","192.168.1.166","TLSv1.2","374","Application Data"
"28","0.533978","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"29","0.533995","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=76564 Ack=1436 Win=16378 Len=0"
"30","0.960456","192.168.1.166","23.39.213.4","TLSv1.2","5976","Application Data"
"31","0.963766","192.168.1.166","23.39.213.4","TLSv1.2","5358","Application Data"
"32","0.963785","192.168.1.166","23.39.213.4","TLSv1.2","629","Application Data"
"33","0.993677","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=78024 Win=9945 Len=0"
"34","0.993677","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=79484 Win=9945 Len=0"
"35","0.993677","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=80944 Win=9945 Len=0"
"36","0.993677","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=82486 Win=9943 Len=0"
"37","0.995902","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=83946 Win=9945 Len=0"
"38","0.995902","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=85406 Win=9937 Len=0"
"39","0.995902","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=87790 Win=9924 Len=0"
"40","0.995902","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1436 Ack=88365 Win=9920 Len=0"
"41","1.124118","23.39.213.4","192.168.1.166","TLSv1.2","355","Application Data"
"42","1.124118","23.39.213.4","192.168.1.166","TLSv1.2","121","Application Data"
"43","1.124137","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=88365 Ack=1804 Win=16383 Len=0"
"44","1.304346","23.39.213.4","192.168.1.166","TLSv1.2","949","Application Data"
"45","1.304346","23.39.213.4","192.168.1.166","TCP","16114","443  >  50692 [ACK] Seq=2699 Ack=88365 Win=9949 Len=16060 [TCP PDU reassembled in 46]"
"46","1.304346","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"47","1.304346","23.39.213.4","192.168.1.166","TLSv1.2","4434","Application Data"
"48","1.304346","23.39.213.4","192.168.1.166","TLSv1.2","695","Application Data"
