"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.39.213.4","TLSv1.2","5802","Application Data"
"2","0.000074","192.168.1.166","23.39.213.4","TLSv1.2","13592","Application Data"
"3","0.002003","192.168.1.166","23.39.213.4","TLSv1.2","5705","Application Data"
"4","0.033243","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=1 Ack=8669 Win=11747 Len=0"
"5","0.033243","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=1 Ack=13049 Win=11740 Len=0"
"6","0.035417","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=1 Ack=15969 Win=11800 Len=0"
"7","0.039366","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=1 Ack=24938 Win=11752 Len=0"
"8","0.094443","23.39.213.4","192.168.1.166","TLSv1.2","361","Application Data"
"9","0.094443","23.39.213.4","192.168.1.166","TLSv1.2","289","Application Data"
"10","0.094475","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=24938 Ack=543 Win=8191 Len=0"
"11","0.094936","192.168.1.166","23.39.213.4","TLSv1.2","89","Application Data"
"12","0.168506","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=543 Ack=24973 Win=11805 Len=0"
"13","1.030630","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=543 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 14]"
"14","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","555","Application Data"
"15","1.030630","23.39.213.4","192.168.1.166","TCP","16114","443  >  52183 [ACK] Seq=2504 Ack=24973 Win=11805 Len=16060 [TCP PDU reassembled in 16]"
"16","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"17","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"18","1.030630","23.39.213.4","192.168.1.166","TCP","16114","443  >  52183 [ACK] Seq=18941 Ack=24973 Win=11805 Len=16060 [TCP PDU reassembled in 19]"
"19","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"20","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","13194","Application Data, Application Data"
"21","1.030630","23.39.213.4","192.168.1.166","TLSv1.2","856","Application Data"
"22","1.030729","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=24973 Ack=49289 Win=8191 Len=0"
"23","1.031184","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=49289 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 28]"
"24","1.031184","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=50749 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 28]"
"25","1.031184","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=52209 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 28]"
"26","1.031184","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=53669 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 28]"
"27","1.031184","23.39.213.4","192.168.1.166","TCP","10274","443  >  52183 [ACK] Seq=55129 Ack=24973 Win=11805 Len=10220 [TCP PDU reassembled in 28]"
"28","1.031184","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"29","1.031184","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"30","1.031215","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=24973 Ack=65726 Win=8191 Len=0"
"31","1.031316","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=65726 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 34]"
"32","1.031316","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=67186 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 34]"
"33","1.031316","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=68646 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 34]"
"34","1.031316","23.39.213.4","192.168.1.166","TLSv1.2","828","Application Data"
"35","1.031330","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=24973 Ack=70880 Win=8191 Len=0"
"36","1.033567","23.39.213.4","192.168.1.166","TCP","16114","443  >  52183 [ACK] Seq=70880 Ack=24973 Win=11805 Len=16060 [TCP PDU reassembled in 37]"
"37","1.033567","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"38","1.033567","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"39","1.033567","23.39.213.4","192.168.1.166","TCP","5894","443  >  52183 [ACK] Seq=87317 Ack=24973 Win=11805 Len=5840 [TCP PDU reassembled in 40]"
"40","1.033567","23.39.213.4","192.168.1.166","TLSv1.2","506","Application Data"
"41","1.033613","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=24973 Ack=93609 Win=8191 Len=0"
"42","1.038263","192.168.1.166","23.39.213.4","TLSv1.2","5803","Application Data"
"43","1.038307","192.168.1.166","23.39.213.4","TLSv1.2","1795","Application Data"
"44","1.038613","23.39.213.4","192.168.1.166","TCP","16114","443  >  52183 [ACK] Seq=93609 Ack=24973 Win=11805 Len=16060 [TCP PDU reassembled in 45]"
"45","1.038613","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"46","1.038613","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"47","1.038613","23.39.213.4","192.168.1.166","TCP","7354","443  >  52183 [ACK] Seq=110046 Ack=24973 Win=11805 Len=7300 [TCP PDU reassembled in 48]"
"48","1.038613","23.39.213.4","192.168.1.166","TLSv1.2","1290","Application Data"
"49","1.038646","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=32463 Ack=118582 Win=8191 Len=0"
"50","1.041140","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=118582 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 55]"
"51","1.041140","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=120042 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 55]"
"52","1.041160","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=32463 Ack=121502 Win=8191 Len=0"
"53","1.042258","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=121502 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 55]"
"54","1.042258","23.39.213.4","192.168.1.166","TCP","1514","443  >  52183 [ACK] Seq=122962 Ack=24973 Win=11805 Len=1460 [TCP PDU reassembled in 55]"
"55","1.042258","23.39.213.4","192.168.1.166","TLSv1.2","59","Application Data"
"56","1.042258","23.39.213.4","192.168.1.166","TLSv1.2","93","Application Data"
"57","1.042258","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"58","1.042287","192.168.1.166","23.39.213.4","TCP","54","52183  >  443 [ACK] Seq=32463 Ack=124497 Win=8191 Len=0"
"59","1.075309","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=124497 Ack=26433 Win=11800 Len=0"
"60","1.077708","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=124497 Ack=29353 Win=11793 Len=0"
"61","1.077708","23.39.213.4","192.168.1.166","TCP","54","443  >  52183 [ACK] Seq=124497 Ack=30722 Win=11800 Len=0"
