"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.198.241.2","TLSv1.2","947","Application Data"
"2","0.000073","192.168.1.166","23.198.241.2","TLSv1.2","1173","Application Data"
"3","0.002400","192.168.1.166","23.198.241.2","TLSv1.2","137","Application Data"
"4","0.002469","192.168.1.166","23.198.241.2","TLSv1.2","538","Application Data"
"5","0.025881","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=894 Win=9764 Len=0"
"6","0.025881","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=2013 Win=9763 Len=0"
"7","0.027531","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=2096 Win=9763 Len=0"
"8","0.027531","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=1 Ack=2580 Win=9760 Len=0"
"9","0.071197","192.168.1.166","23.198.241.2","TLSv1.2","304","Application Data"
"10","0.089407","23.198.241.2","192.168.1.166","TLSv1.2","473","Application Data"
"11","0.089407","23.198.241.2","192.168.1.166","TLSv1.2","116","Application Data"
"12","0.089419","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=2830 Ack=482 Win=4094 Len=0"
"13","0.089758","192.168.1.166","23.198.241.2","TLSv1.2","89","Application Data"
"14","0.097246","23.198.241.2","192.168.1.166","TLSv1.2","492","Application Data"
"15","0.097246","23.198.241.2","192.168.1.166","TLSv1.2","120","Application Data"
"16","0.097246","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=986 Ack=2830 Win=9769 Len=0"
"17","0.097269","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=2865 Ack=986 Win=4092 Len=0"
"18","0.123940","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=986 Ack=2865 Win=9769 Len=0"
"19","0.135248","23.198.241.2","192.168.1.166","TCP","1514","443  >  58685 [ACK] Seq=986 Ack=2865 Win=9769 Len=1460 [TCP PDU reassembled in 20]"
"20","0.135248","23.198.241.2","192.168.1.166","TLSv1.2","813","Application Data"
"21","0.135248","23.198.241.2","192.168.1.166","TLSv1.2","1302","Application Data"
"22","0.135272","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=2865 Ack=4453 Win=4095 Len=0"
"23","0.141654","192.168.1.166","23.198.241.2","TLSv1.2","2136","Application Data"
"24","0.141704","192.168.1.166","23.198.241.2","TLSv1.2","1234","Application Data"
"25","0.168561","192.168.1.166","23.198.241.2","TLSv1.2","3175","Application Data"
"26","0.170035","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=4453 Ack=6127 Win=9751 Len=0"
"27","0.196128","23.198.241.2","192.168.1.166","TCP","54","443  >  58685 [ACK] Seq=4453 Ack=9248 Win=9752 Len=0"
"28","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","555","Application Data"
"29","0.204277","23.198.241.2","192.168.1.166","TCP","4434","443  >  58685 [ACK] Seq=4954 Ack=9248 Win=9770 Len=4380 [TCP PDU reassembled in 31]"
"30","0.204277","23.198.241.2","192.168.1.166","TCP","11734","443  >  58685 [ACK] Seq=9334 Ack=9248 Win=9770 Len=11680 [TCP PDU reassembled in 31]"
"31","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","400","Application Data"
"32","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","85","Application Data"
"33","0.204277","23.198.241.2","192.168.1.166","TCP","16114","443  >  58685 [ACK] Seq=21391 Ack=9248 Win=9770 Len=16060 [TCP PDU reassembled in 34]"
"34","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","400","Application Data"
"35","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","32174","Application Data, Application Data, Application Data"
"36","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","808","Application Data"
"37","0.204277","23.198.241.2","192.168.1.166","TLSv1.2","51154","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"38","0.204340","192.168.1.166","23.198.241.2","TCP","54","58685  >  443 [ACK] Seq=9248 Ack=121771 Win=4095 Len=0"
"39","0.204399","23.198.241.2","192.168.1.166","TCP","2974","443  >  58685 [ACK] Seq=121771 Ack=9248 Win=9770 Len=2920 [TCP PDU reassembled in 43]"
