"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.166","23.39.213.4","TLSv1.2","5279","Application Data"
"2","0.000069","192.168.1.166","23.39.213.4","TLSv1.2","93","Application Data"
"3","0.000083","192.168.1.166","23.39.213.4","TLSv1.2","538","Application Data"
"4","0.060639","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=1 Ack=5749 Win=9919 Len=0"
"5","0.061044","23.39.213.4","192.168.1.166","TLSv1.2","93","Application Data"
"6","0.102072","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=5749 Ack=40 Win=8191 Len=0"
"7","0.165729","23.39.213.4","192.168.1.166","TLSv1.2","935","Application Data"
"8","0.165729","23.39.213.4","192.168.1.166","TLSv1.2","116","Application Data"
"9","0.165752","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=5749 Ack=983 Win=8188 Len=0"
"10","0.166299","192.168.1.166","23.39.213.4","TLSv1.2","89","Application Data"
"11","0.239528","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=983 Ack=5784 Win=9949 Len=0"
"12","0.420074","192.168.1.166","23.39.213.4","TLSv1.2","5328","Application Data"
"13","0.455292","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=983 Ack=7244 Win=9945 Len=0"
"14","0.455292","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=983 Ack=8704 Win=9937 Len=0"
"15","0.455292","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=983 Ack=11058 Win=9940 Len=0"
"16","0.760619","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=983 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 17]"
"17","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","505","Application Data"
"18","0.760619","23.39.213.4","192.168.1.166","TCP","16114","443  >  50692 [ACK] Seq=2894 Ack=11058 Win=9949 Len=16060 [TCP PDU reassembled in 19]"
"19","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","400","Application Data"
"20","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","16114","Application Data"
"21","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","431","Application Data"
"22","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","7354","Application Data"
"23","0.760619","23.39.213.4","192.168.1.166","TLSv1.2","1180","Application Data"
"24","0.760619","23.39.213.4","192.168.1.166","TCP","5894","443  >  50692 [ACK] Seq=44163 Ack=11058 Win=9949 Len=5840 [TCP PDU reassembled in 27]"
"25","0.760689","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11058 Ack=50003 Win=8191 Len=0"
"26","0.760798","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=50003 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 27]"
"27","0.760798","23.39.213.4","192.168.1.166","TLSv1.2","1033","Application Data"
"28","0.760805","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11058 Ack=52442 Win=8191 Len=0"
"29","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=52442 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"30","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=53902 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"31","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=55362 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"32","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=56822 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"33","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=58282 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"34","0.762844","23.39.213.4","192.168.1.166","TCP","1514","443  >  50692 [ACK] Seq=59742 Ack=11058 Win=9949 Len=1460 [TCP PDU reassembled in 35]"
"35","0.762844","23.39.213.4","192.168.1.166","TLSv1.2","1155","Application Data"
"36","0.762844","23.39.213.4","192.168.1.166","TLSv1.2","93","Application Data"
"37","0.762844","23.39.213.4","192.168.1.166","TLSv1.2","85","Application Data"
"38","0.762883","192.168.1.166","23.39.213.4","TCP","54","50692  >  443 [ACK] Seq=11058 Ack=62373 Win=8191 Len=0"
"39","0.766994","192.168.1.166","23.39.213.4","TLSv1.2","5549","Application Data"
"40","0.767047","192.168.1.166","23.39.213.4","TLSv1.2","1663","Application Data"
"41","0.799376","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=62373 Ack=12518 Win=9945 Len=0"
"42","0.799376","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=62373 Ack=13978 Win=9945 Len=0"
"43","0.799376","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=62373 Ack=16553 Win=9939 Len=0"
"44","0.799376","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=62373 Ack=18013 Win=9945 Len=0"
"45","0.799376","23.39.213.4","192.168.1.166","TCP","54","443  >  50692 [ACK] Seq=62373 Ack=18162 Win=9949 Len=0"
