"No.","Time","Source","Destination","Protocol","Length","Info"
"9","0.619290","100.86.243.187","64.233.180.190","TLSv1.2","500","Application Data"
"16","0.634023","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=1 Ack=435 Win=2037 Len=0 TSval=2767762404 TSecr=4060822814"
"17","0.688763","64.233.180.190","100.86.243.187","TLSv1.2","614","Application Data"
"18","0.688831","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=435 Ack=549 Win=32795 Len=0 TSval=4060822884 TSecr=2767762459"
"19","0.689055","64.233.180.190","100.86.243.187","TLSv1.2","1466","Application Data"
"20","0.689056","64.233.180.190","100.86.243.187","TLSv1.2","1466","Application Data"
"21","0.689057","64.233.180.190","100.86.243.187","TLSv1.2","630","Application Data"
"22","0.689057","64.233.180.190","100.86.243.187","TLSv1.2","98","Application Data"
"23","0.689104","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=435 Ack=3945 Win=32751 Len=0 TSval=4060822884 TSecr=2767762459"
"24","0.689215","100.86.243.187","64.233.180.190","TCP","66","[TCP Window Update] 53804  >  443 [ACK] Seq=435 Ack=3945 Win=32804 Len=0 TSval=4060822884 TSecr=2767762459"
"25","0.689388","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"26","0.689389","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"27","0.689426","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=435 Ack=4015 Win=32803 Len=0 TSval=4060822884 TSecr=2767762459"
"28","0.689540","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"29","0.700112","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4015 Ack=474 Win=2037 Len=0 TSval=2767762470 TSecr=4060822884"
"113","1.128633","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=474 Ack=4015 Win=32804 Len=1400 TSval=4060823324 TSecr=2767762470 [TCP PDU reassembled in 114]"
"114","1.128663","100.86.243.187","64.233.180.190","TLSv1.2","565","Application Data"
"123","1.139558","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4015 Ack=2373 Win=2036 Len=0 TSval=2767762909 TSecr=4060823324"
"125","1.142127","64.233.180.190","100.86.243.187","TLSv1.2","144","Application Data"
"127","1.142185","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=2373 Ack=4093 Win=32803 Len=0 TSval=4060823337 TSecr=2767762910"
"129","1.142382","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"142","1.158239","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4093 Ack=2412 Win=2037 Len=0 TSval=2767762928 TSecr=4060823337"
"143","1.191081","100.86.243.187","64.233.180.190","TLSv1.2","989","Application Data"
"144","1.207753","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4093 Ack=3335 Win=2037 Len=0 TSval=2767762977 TSecr=4060823386"
"145","1.230232","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=3335 Ack=4093 Win=32804 Len=1400 TSval=4060823425 TSecr=2767762977 [TCP PDU reassembled in 146]"
"146","1.230266","100.86.243.187","64.233.180.190","TLSv1.2","674","Application Data"
"147","1.230316","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=5343 Ack=4093 Win=32804 Len=1400 TSval=4060823425 TSecr=2767762977 [TCP PDU reassembled in 148]"
"148","1.230325","100.86.243.187","64.233.180.190","TLSv1.2","452","Application Data"
"149","1.240963","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4093 Ack=5343 Win=2035 Len=0 TSval=2767763011 TSecr=4060823425"
"150","1.240964","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4093 Ack=7129 Win=2029 Len=0 TSval=2767763011 TSecr=4060823425"
"151","1.248819","64.233.180.190","100.86.243.187","TLSv1.2","141","Application Data"
"152","1.248819","64.233.180.190","100.86.243.187","TLSv1.2","407","Application Data"
"153","1.248820","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"154","1.248846","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"155","1.248898","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=7129 Ack=4540 Win=32797 Len=0 TSval=4060823444 TSecr=2767763018"
"156","1.248958","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=7129 Ack=4579 Win=32796 Len=0 TSval=4060823444 TSecr=2767763018"
"157","1.249156","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"158","1.264631","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4579 Ack=7168 Win=2037 Len=0 TSval=2767763035 TSecr=4060823444"
"159","1.272897","100.86.243.187","64.233.180.190","TLSv1.2","630","Application Data"
"160","1.283626","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4579 Ack=7732 Win=2037 Len=0 TSval=2767763054 TSecr=4060823468"
"161","1.283627","64.233.180.190","100.86.243.187","TLSv1.2","144","Application Data"
"162","1.283702","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=7732 Ack=4657 Win=32803 Len=0 TSval=4060823479 TSecr=2767763054"
"163","1.283930","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"164","1.300506","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=4657 Ack=7771 Win=2037 Len=0 TSval=2767763070 TSecr=4060823479"
"165","1.329009","64.233.180.190","100.86.243.187","TLSv1.2","592","Application Data"
"166","1.329010","64.233.180.190","100.86.243.187","TLSv1.2","1466","Application Data"
"167","1.329012","64.233.180.190","100.86.243.187","TLSv1.2","100","Application Data"
"168","1.329012","64.233.180.190","100.86.243.187","TLSv1.2","98","Application Data"
"169","1.329013","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"170","1.329056","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"171","1.329123","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=7771 Ack=6680 Win=32772 Len=0 TSval=4060823524 TSecr=2767763098"
"172","1.329186","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=7771 Ack=6719 Win=32772 Len=0 TSval=4060823524 TSecr=2767763099"
"173","1.329568","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"176","1.344743","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6719 Ack=7810 Win=2037 Len=0 TSval=2767763115 TSecr=4060823524"
"177","1.751242","100.86.243.187","64.233.180.190","TLSv1.2","581","Application Data"
"178","1.765580","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6719 Ack=8325 Win=2037 Len=0 TSval=2767763535 TSecr=4060823946"
"179","1.817209","64.233.180.190","100.86.243.187","TLSv1.2","613","Application Data"
"180","1.817273","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=8325 Ack=7266 Win=32795 Len=0 TSval=4060824012 TSecr=2767763587"
"181","1.817726","64.233.180.190","100.86.243.187","TLSv1.2","1466","[TCP Previous segment not captured] , Application Data"
"182","1.817727","64.233.180.190","100.86.243.187","TLSv1.2","630","Application Data"
"183","1.817727","64.233.180.190","100.86.243.187","TLSv1.2","98","Application Data"
"184","1.817772","100.86.243.187","64.233.180.190","TCP","78","[TCP Dup ACK 180#1] 53804  >  443 [ACK] Seq=8325 Ack=7266 Win=32804 Len=0 TSval=4060824012 TSecr=2767763587 SLE=8666 SRE=10662"
"185","1.817999","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"186","1.817999","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"187","1.818036","100.86.243.187","64.233.180.190","TCP","78","[TCP Dup ACK 180#2] 53804  >  443 [ACK] Seq=8325 Ack=7266 Win=32804 Len=0 TSval=4060824012 TSecr=2767763587 SLE=8666 SRE=10732"
"188","1.833753","64.233.180.190","100.86.243.187","TLSv1.2","1466","[TCP Fast Retransmission] , Application Data"
"189","1.833820","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=8325 Ack=10732 Win=32750 Len=0 TSval=4060824029 TSecr=2767763604"
"190","1.833992","100.86.243.187","64.233.180.190","TCP","66","[TCP Window Update] 53804  >  443 [ACK] Seq=8325 Ack=10732 Win=32804 Len=0 TSval=4060824029 TSecr=2767763604"
"191","1.834028","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"192","1.845986","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=10732 Ack=8364 Win=2037 Len=0 TSval=2767763615 TSecr=4060824029"
"197","1.959336","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=8364 Ack=10732 Win=32804 Len=1400 TSval=4060824154 TSecr=2767763615 [TCP PDU reassembled in 199]"
"198","1.959338","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=9764 Ack=10732 Win=32804 Len=1400 TSval=4060824154 TSecr=2767763615 [TCP PDU reassembled in 199]"
