"No.","Time","Source","Destination","Protocol","Length","Info"
"156","0.679720","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=1 Ack=1 Win=32804 Len=1400 TSval=4060161620 TSecr=2767099088 [TCP PDU reassembled in 157]"
"157","0.679759","100.86.243.187","64.233.180.190","TLSv1.2","1444","Application Data"
"179","0.690643","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=1 Ack=2779 Win=549 Len=0 TSval=2767101184 TSecr=4060161620"
"203","0.717306","64.233.180.190","100.86.243.187","TLSv1.2","177","Application Data"
"204","0.717308","64.233.180.190","100.86.243.187","TLSv1.2","943","Application Data"
"205","0.717309","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"206","0.717408","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=2779 Ack=1020 Win=32788 Len=0 TSval=4060161658 TSecr=2767101211"
"207","0.717942","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"208","0.718021","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=2779 Ack=1059 Win=32803 Len=0 TSval=4060161658 TSecr=2767101211"
"209","0.718212","100.86.243.187","64.233.180.190","TLSv1.2","731","Application Data"
"210","0.718289","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=3444 Ack=1059 Win=32803 Len=1400 TSval=4060161658 TSecr=2767101211 [TCP PDU reassembled in 212]"
"211","0.718291","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=4844 Ack=1059 Win=32803 Len=1400 TSval=4060161658 TSecr=2767101211 [TCP PDU reassembled in 212]"
"212","0.718306","100.86.243.187","64.233.180.190","TLSv1.2","1049","Application Data"
"213","0.718400","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"216","0.727191","100.86.243.187","64.233.180.190","TLSv1.2","358","Application Data"
"217","0.727245","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=7558 Ack=1059 Win=32804 Len=1400 TSval=4060161667 TSecr=2767101211 [TCP PDU reassembled in 219]"
"218","0.727246","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=8958 Ack=1059 Win=32804 Len=1400 TSval=4060161667 TSecr=2767101211 [TCP PDU reassembled in 219]"
"219","0.727259","100.86.243.187","64.233.180.190","TLSv1.2","1459","Application Data"
"220","0.729335","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=1059 Ack=7227 Win=537 Len=0 TSval=2767101223 TSecr=4060161658"
"221","0.736263","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=1059 Ack=7266 Win=554 Len=0 TSval=2767101228 TSecr=4060161659"
"228","0.738552","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=1059 Ack=11751 Win=541 Len=0 TSval=2767101232 TSecr=4060161667"
"256","0.787944","64.233.180.190","100.86.243.187","TLSv1.2","143","Application Data"
"257","0.787945","64.233.180.190","100.86.243.187","TLSv1.2","1284","Application Data"
"258","0.787946","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"259","0.787984","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"260","0.788062","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=11751 Ack=2385 Win=32783 Len=0 TSval=4060161728 TSecr=2767101280"
"261","0.788125","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=11751 Ack=2424 Win=32782 Len=0 TSval=4060161728 TSecr=2767101280"
"262","0.788445","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"270","0.799400","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=2424 Ack=11790 Win=554 Len=0 TSval=2767101293 TSecr=4060161728"
"345","0.831073","64.233.180.190","100.86.243.187","TLSv1.2","614","Application Data"
"346","0.831074","64.233.180.190","100.86.243.187","TLSv1.2","1466","Application Data"
"347","0.831075","64.233.180.190","100.86.243.187","TLSv1.2","858","Application Data"
"348","0.831075","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"349","0.831076","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"358","0.831274","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=11790 Ack=5234 Win=32760 Len=0 TSval=4060161771 TSecr=2767101322"
"360","0.831753","100.86.243.187","64.233.180.190","TCP","66","[TCP Window Update] 53804  >  443 [ACK] Seq=11790 Ack=5234 Win=32804 Len=0 TSval=4060161771 TSecr=2767101322"
"361","0.831796","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"498","0.850539","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=5234 Ack=11829 Win=554 Len=0 TSval=2767101342 TSecr=4060161771"
"638","0.863631","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=11829 Ack=5234 Win=32804 Len=1400 TSval=4060161803 TSecr=2767101342 [TCP PDU reassembled in 639]"
"639","0.863651","100.86.243.187","64.233.180.190","TLSv1.2","1172","Application Data"
"853","0.880735","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=5234 Ack=14335 Win=545 Len=0 TSval=2767101372 TSecr=4060161803"
"1171","0.913064","64.233.180.190","100.86.243.187","TLSv1.2","139","Application Data"
"1172","0.913064","64.233.180.190","100.86.243.187","TLSv1.2","794","Application Data"
"1173","0.913065","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"1174","0.913065","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"1200","0.913328","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=14335 Ack=6105 Win=32790 Len=0 TSval=4060161853 TSecr=2767101396"
"1238","0.913720","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"1250","0.929751","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6105 Ack=14374 Win=554 Len=0 TSval=2767101423 TSecr=4060161853"
"2187","1.134775","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=14374 Ack=6105 Win=32804 Len=1400 TSval=4060162075 TSecr=2767101423 [TCP PDU reassembled in 2189]"
"2188","1.134777","100.86.243.187","64.233.180.190","TCP","1466","53804  >  443 [ACK] Seq=15774 Ack=6105 Win=32804 Len=1400 TSval=4060162075 TSecr=2767101423 [TCP PDU reassembled in 2189]"
"2189","1.134820","100.86.243.187","64.233.180.190","TLSv1.2","792","Application Data"
"2195","1.146291","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6105 Ack=17900 Win=554 Len=0 TSval=2767101639 TSecr=4060162075"
"2214","1.171109","64.233.180.190","100.86.243.187","TLSv1.2","138","Application Data"
"2215","1.171341","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=17900 Ack=6177 Win=32803 Len=0 TSval=4060162111 TSecr=2767101665"
"2216","1.171568","64.233.180.190","100.86.243.187","TLSv1.2","97","Application Data"
"2217","1.171570","64.233.180.190","100.86.243.187","TLSv1.2","105","Application Data"
"2218","1.171659","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=17900 Ack=6247 Win=32803 Len=0 TSval=4060162111 TSecr=2767101665"
"2219","1.172101","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
"2237","1.187702","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6247 Ack=17939 Win=554 Len=0 TSval=2767101681 TSecr=4060162111"
"2296","1.801714","100.86.243.187","64.233.180.190","TLSv1.2","322","Application Data"
"2297","1.812549","64.233.180.190","100.86.243.187","TCP","66","443  >  53804 [ACK] Seq=6247 Ack=18195 Win=553 Len=0 TSval=2767102306 TSecr=4060162741"
"2298","1.812573","64.233.180.190","100.86.243.187","TLSv1.2","144","Application Data"
"2299","1.812649","100.86.243.187","64.233.180.190","TCP","66","53804  >  443 [ACK] Seq=18195 Ack=6325 Win=32803 Len=0 TSval=4060162753 TSecr=2767102306"
"2300","1.812968","100.86.243.187","64.233.180.190","TLSv1.2","105","Application Data"
