"No.","Time","Source","Destination","Protocol","Length","Info"
"25","0.330711","100.86.243.187","172.253.62.190","TCP","1466","54596  >  443 [ACK] Seq=1 Ack=1 Win=15960 Len=1400 TSval=282703475 TSecr=1973457799 [TCP PDU reassembled in 26]"
"26","0.330740","100.86.243.187","172.253.62.190","TLSv1.2","142","Application Data"
"27","0.330790","100.86.243.187","172.253.62.190","TLSv1.2","101","Application Data"
"28","0.331166","100.86.243.187","172.253.62.190","TLSv1.2","664","Application Data"
"29","0.331217","100.86.243.187","172.253.62.190","TCP","1466","54596  >  443 [ACK] Seq=2110 Ack=1 Win=15960 Len=1400 TSval=282703475 TSecr=1973457799 [TCP PDU reassembled in 30]"
"30","0.331227","100.86.243.187","172.253.62.190","TLSv1.2","1075","Application Data"
"35","0.346048","172.253.62.190","100.86.243.187","TCP","78","443  >  54596 [ACK] Seq=1 Ack=1 Win=2931 Len=0 TSval=1973458148 TSecr=282703126 SLE=1401 SRE=1477"
"36","0.346049","172.253.62.190","100.86.243.187","TCP","78","[TCP Dup ACK 35#1] 443  >  54596 [ACK] Seq=1 Ack=1 Win=2931 Len=0 TSval=1973458148 TSecr=282703126 SLE=1401 SRE=1512"
"37","0.346049","172.253.62.190","100.86.243.187","TCP","66","443  >  54596 [ACK] Seq=1 Ack=1512 Win=2942 Len=0 TSval=1973458148 TSecr=282703475"
"38","0.346049","172.253.62.190","100.86.243.187","TCP","66","443  >  54596 [ACK] Seq=1 Ack=4519 Win=2975 Len=0 TSval=1973458148 TSecr=282703475"
"51","0.385720","172.253.62.190","100.86.243.187","TLSv1.2","145","Application Data"
"52","0.385721","172.253.62.190","100.86.243.187","TLSv1.2","1290","Application Data"
"53","0.385721","172.253.62.190","100.86.243.187","TLSv1.2","97","Application Data"
"54","0.385721","172.253.62.190","100.86.243.187","TLSv1.2","105","Application Data"
"55","0.385787","100.86.243.187","172.253.62.190","TCP","66","54596  >  443 [ACK] Seq=4519 Ack=1374 Win=15939 Len=0 TSval=282703530 TSecr=1973458189"
"56","0.386112","100.86.243.187","172.253.62.190","TLSv1.2","105","Application Data"
"57","0.416936","172.253.62.190","100.86.243.187","TCP","66","443  >  54596 [ACK] Seq=1374 Ack=4558 Win=2975 Len=0 TSval=1973458206 TSecr=282703530"
"857","0.563342","172.253.62.190","100.86.243.187","TLSv1.2","126","Application Data"
"858","0.563418","100.86.243.187","172.253.62.190","TCP","66","54596  >  443 [ACK] Seq=4558 Ack=1434 Win=15959 Len=0 TSval=282703707 TSecr=1973458367"
"861","0.596067","172.253.62.190","100.86.243.187","TLSv1.2","1466","Application Data"
"862","0.596136","100.86.243.187","172.253.62.190","TCP","66","54596  >  443 [ACK] Seq=4558 Ack=2834 Win=15938 Len=0 TSval=282703740 TSecr=1973458401"
"863","0.596771","172.253.62.190","100.86.243.187","TLSv1.2","1466","Application Data"
"864","0.596772","172.253.62.190","100.86.243.187","TLSv1.2","1466","Application Data"
"865","0.596773","172.253.62.190","100.86.243.187","TLSv1.2","601","Application Data"
"866","0.596815","100.86.243.187","172.253.62.190","TCP","66","54596  >  443 [ACK] Seq=4558 Ack=6169 Win=15908 Len=0 TSval=282703740 TSecr=1973458401"
"867","0.596898","100.86.243.187","172.253.62.190","TCP","66","[TCP Window Update] 54596  >  443 [ACK] Seq=4558 Ack=6169 Win=15960 Len=0 TSval=282703740 TSecr=1973458401"
"868","0.597480","172.253.62.190","100.86.243.187","TLSv1.2","1208","Application Data"
