"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.243.187","23.13.164.38","TLSv1.2","674","Application Data"
"2","0.000836","100.86.243.187","23.13.164.38","TLSv1.2","366","Application Data"
"3","0.011912","23.13.164.38","100.86.243.187","TCP","66","443  >  54993 [ACK] Seq=1 Ack=909 Win=8221 Len=0 TSval=1115497758 TSecr=931464101"
"4","0.038007","23.13.164.38","100.86.243.187","TLSv1.2","897","Application Data"
"5","0.038042","23.13.164.38","100.86.243.187","TLSv1.2","698","Application Data"
"6","0.038113","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=909 Ack=832 Win=37443 Len=0 TSval=931464139 TSecr=1115497784"
"7","0.038184","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=909 Ack=1464 Win=37433 Len=0 TSval=931464139 TSecr=1115497784"
"19","0.065231","23.13.164.38","100.86.243.187","TLSv1.2","899","Application Data"
"20","0.065299","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=909 Ack=2297 Win=37443 Len=0 TSval=931464165 TSecr=1115497811"
"21","0.065940","23.13.164.38","100.86.243.187","TLSv1.2","796","Application Data"
"22","0.065997","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=909 Ack=3027 Win=37444 Len=0 TSval=931464167 TSecr=1115497811"
"23","0.076211","100.86.243.187","23.13.164.38","TLSv1.2","859","Application Data"
"24","0.108466","23.13.164.38","100.86.243.187","TLSv1.2","771","Application Data"
"25","0.108491","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=3732 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"26","0.108491","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=5180 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"27","0.108547","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=1702 Ack=3732 Win=37445 Len=0 TSval=931464209 TSecr=1115497854"
"28","0.108711","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=1702 Ack=6628 Win=37456 Len=0 TSval=931464209 TSecr=1115497854"
"29","0.110201","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=6628 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"30","0.110202","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=8076 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"31","0.110202","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=9524 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"32","0.110203","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=10972 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"33","0.110293","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=1702 Ack=12420 Win=37456 Len=0 TSval=931464211 TSecr=1115497854"
"34","0.111493","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=12420 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"35","0.111493","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=13868 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"36","0.111494","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=15316 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"37","0.111494","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=16764 Ack=1702 Win=8244 Len=1448 TSval=1115497854 TSecr=931464177 [TCP PDU reassembled in 38]"
"38","0.111495","23.13.164.38","100.86.243.187","TLSv1.2","239","Application Data"
"39","0.111574","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=1702 Ack=18385 Win=37456 Len=0 TSval=931464212 TSecr=1115497854"
"40","0.115049","100.86.243.187","23.13.164.38","TLSv1.2","330","Application Data"
"41","0.149301","100.86.243.187","23.13.164.38","TLSv1.2","920","Application Data"
"42","0.149591","100.86.243.187","23.13.164.38","TLSv1.2","949","Application Data"
"43","0.153563","23.13.164.38","100.86.243.187","TLSv1.2","770","Application Data"
"44","0.153566","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=19089 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"45","0.153567","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=20537 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"46","0.153658","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=3703 Ack=21985 Win=37399 Len=0 TSval=931464254 TSecr=1115497890"
"47","0.153815","100.86.243.187","23.13.164.38","TCP","66","[TCP Window Update] 54993  >  443 [ACK] Seq=3703 Ack=21985 Win=37456 Len=0 TSval=931464254 TSecr=1115497890"
"49","0.154087","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=21985 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"50","0.154088","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=23433 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"51","0.154089","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=24881 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"52","0.154089","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=26329 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"53","0.154149","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=3703 Ack=27777 Win=37456 Len=0 TSval=931464254 TSecr=1115497890"
"54","0.155478","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=27777 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"55","0.155479","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=29225 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"56","0.155480","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=30673 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"57","0.155481","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=32121 Ack=1966 Win=8266 Len=1448 TSval=1115497890 TSecr=931464216 [TCP PDU reassembled in 58]"
"58","0.155481","23.13.164.38","100.86.243.187","TLSv1.2","239","Application Data"
"59","0.155582","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=3703 Ack=33742 Win=37456 Len=0 TSval=931464256 TSecr=1115497890"
"60","0.162689","23.13.164.38","100.86.243.187","TCP","66","443  >  54993 [ACK] Seq=33742 Ack=3703 Win=8312 Len=0 TSval=1115497908 TSecr=931464250"
"72","0.726653","23.13.164.38","100.86.243.187","TLSv1.2","713","Application Data"
"73","0.726654","23.13.164.38","100.86.243.187","TLSv1.2","1062","Application Data"
"74","0.726655","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=35385 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"75","0.726656","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=36833 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"76","0.726657","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=38281 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"77","0.726993","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=39729 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"78","0.726994","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=41177 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"79","0.727147","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=3703 Ack=42625 Win=37456 Len=0 TSval=931464827 TSecr=1115498377"
"80","0.727445","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=42625 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"81","0.727446","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=44073 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"82","0.727561","100.86.243.187","23.13.164.38","TCP","66","54993  >  443 [ACK] Seq=3703 Ack=45521 Win=37456 Len=0 TSval=931464827 TSecr=1115498377"
"83","0.728932","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=45521 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"84","0.728934","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=46969 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"85","0.728934","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=48417 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"86","0.728935","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [PSH, ACK] Seq=49865 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 87]"
"87","0.728936","23.13.164.38","100.86.243.187","TLSv1.2","544","Application Data"
"88","0.728936","23.13.164.38","100.86.243.187","TLSv1.2","1514","Application Data"
"89","0.728937","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=53239 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"90","0.728938","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=54687 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"91","0.728939","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=56135 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"92","0.728940","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=57583 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"93","0.728940","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=59031 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"94","0.728941","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=60479 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"95","0.728942","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=61927 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"96","0.728943","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=63375 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"97","0.728943","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=64823 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"98","0.728944","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [PSH, ACK] Seq=66271 Ack=3703 Win=8312 Len=1448 TSval=1115498377 TSecr=931464256 [TCP PDU reassembled in 101]"
"101","0.728953","23.13.164.38","100.86.243.187","TLSv1.2","1514","Application Data, Application Data"
"102","0.728954","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=69167 Ack=3703 Win=8312 Len=1448 TSval=1115498378 TSecr=931464256 [TCP PDU reassembled in 115]"
"103","0.728955","23.13.164.38","100.86.243.187","TCP","1514","443  >  54993 [ACK] Seq=70615 Ack=3703 Win=8312 Len=1448 TSval=1115498378 TSecr=931464256 [TCP PDU reassembled in 115]"
